business_name,address,zip_code
MINEO PIZZA HOUSE,"2128 MURRAY AVE, Pittsburgh, PA 15217",15217
MEDITERRANEAN MARKET,"2022 WRIGHTS Way, Pittsburgh, PA 15203",15203
CABARET THEATER,"649 PENN AVE, Pittsburgh, PA 15222",15222
JAPANESE STEAKHOUSE & SEAFOOD,"4734 LIBERTY AVE, Pittsburgh, PA 15224",15224
WALNUT CAPITAL,"4801 CENTRE AVE, Pittsburgh, PA 15213",15213
JENNA LOGAN INC DBA CORNER CAFE,"2502 S 18TH ST, Pittsburgh, PA 15210",15210
EVERYDAY NOODLES INC,"5875 FORBES AVE, Pittsburgh, PA 15217",15217
CAFE MILANO,"134 6TH ST, Pittsburgh, PA 15222",15222
KHALIL'S RESTAURANT,"4759 BAUM BLVD, Pittsburgh, PA 15213",15213
THE COMMONPLACE COFFEEHOUSE INC,"5823 FORBES AVE, Pittsburgh, PA 15217",15217
MAGEE-WOMENS HOSPITAL,"204 CRAFT AVE, Pittsburgh, PA 15213",15213
MARKET ON BROADWAY/IGA,"1616 BROADWAY AVE, Pittsburgh, PA 15216",15216
PIZZA PALERMO,"5440 CENTRE AVE, Pittsburgh, PA 15232",15232
SAMMY'S PIZZA,"2145 NOBLESTOWN RD, Pittsburgh, PA 15205",15205
GARY'S RESTAURANT,"2605 BROWNSVILLE RD, Pittsburgh, PA 15227",15227
DOUBLE WIDE GRILL,"2339 E CARSON ST, Pittsburgh, PA 15203",15203
SCHWARTZ SANITARY SUPERMARKET,"1317 E CARSON ST, Pittsburgh, PA 15203",15203
QDOBA MEXICAN GRILLE,"2729 E CARSON ST, Pittsburgh, PA 15203",15203
PLEASURE BAR,"241 CEDARVILLE ST, Pittsburgh, PA 15224",15224
THE PLEASURE BAR AND ITALIAN RESTAURANT,"241 CEDARVILLE ST, Pittsburgh, PA 15224",15224
"LANDRY'S RESTAURANTS, LICENSING DEPT","100 W STATION SQUARE DR, Pittsburgh, PA 15219",15219
HOULIHAN'S RESTAURANTS INC.,"125 W STATION SQUARE DR, Pittsburgh, PA 15219",15219
CHIPOLTLE MEXICAN GRILL,"4800 BAUM BLVD, Pittsburgh, PA 15213",15213
EAT N PARK HOSPITALITY,"1330 BANKSVILLE RD, Pittsburgh, PA 15216",15216
W-N GROCERY,"1018 W NORTH AVE, Pittsburgh, PA 15233",15233
PANERA BREAD #3508,"5430 CENTRE AVE, Pittsburgh, PA 15232",15232
"MORNINGSIDE MARKET, LOTTERY, CARD","1748 CHISLETT ST, Pittsburgh, PA 15206",15206
BAKERY SQUARE 2 LIVING HOLDINGS PARCEL ALP,"6526 LIVING PL, Pittsburgh, PA 15206",15206
MOES SOUTHWEST GRILL,"210 FORBES AVE, Pittsburgh, PA 15222",15222
MINEO'S PIZZA,"2350 NOBLESTOWN RD, Pittsburgh, PA 15205",15205
BETO'S RESTAURANT (PIZZA),"1473 BANKSVILLE RD, Pittsburgh, PA 15216",15216
RUTH'S CHRIS STEAK HOUSE,"4 PPG PL, Pittsburgh, PA 15222",15222
DIFIORE'S ICE CREAM DELITE,"122 SHILOH ST, Pittsburgh, PA 15211",15211
VERDETTO'S BAR & RESTAURANT LLC,"814 MADISON AVE, Pittsburgh, PA 15212",15212
52ND STREET MARKET LLC,"601 52ND ST, Pittsburgh, PA 15201",15201
