name,street_address,zip_code,latitude,longitude
MT ROYAL BLVD OPP SCOTT AVE,,nan,40.539166,-79.97216
MT ROYAL BLVD OPP ROYAL COUR,,nan,40.542728,-79.972174
MT ROYAL BLVD OPP MOREWOOD R,,nan,40.534532,-79.969503
MT ROYAL BLVD OPP IOLA AVE,,nan,40.536729,-79.971249
MT ROYAL BLVD OPP HARTLE RD,,nan,40.54133,-79.972159
MT ROYAL BLVD OPP HAMPTON AV,,nan,40.554479,-79.971284
MT ROYAL BLVD OPP GRANDVIEW,,nan,40.550261,-79.97161
MT ROYAL BLVD OPP EADE AVE,,nan,40.546492,-79.972255
MT ROYAL BLVD OPP DEHAVEN AV,,nan,40.551048,-79.971357
MT ROYAL BLVD OPP CAMPBELL P,,nan,40.526572,-79.963393
MT ROYAL BLVD OPP BRAUN ST,,nan,40.518936,-79.958862
MT ROYAL BLVD AT WOODLAND AV,,nan,40.537948,-79.972351
MT ROYAL BLVD AT WOOD PL,,nan,40.532391,-79.967756
MT ROYAL BLVD AT WILJOHN ST,,nan,40.514013,-79.959156
MT ROYAL BLVD AT WETZELL RD,,nan,40.524962,-79.962402
MT ROYAL BLVD AT VILSACK RD,,nan,40.535915,-79.970881
MT ROYAL BLVD AT UNDERCLIFF,,nan,40.515842,-79.958941
MT ROYAL BLVD AT UNDERCLIFF,,nan,40.515915,-79.959186
MT ROYAL BLVD AT SHAW PL,,nan,40.529427,-79.96548
MT ROYAL BLVD AT SHAW PL,,nan,40.529636,-79.96591
MT ROYAL BLVD AT SHALER LIBR,,nan,40.528133,-79.964537
MT ROYAL BLVD AT SCOTT AVE,,nan,40.539296,-79.972425
MT ROYAL BLVD AT ROYAL COURT,,nan,40.542885,-79.972509
MT ROYAL BLVD AT PENNVIEW AV,,nan,40.512259,-79.957812
MT ROYAL BLVD AT PENNVIEW AV,,nan,40.512277,-79.958055
MT ROYAL BLVD AT MOREWOOD RD,,nan,40.534607,-79.969894
MT ROYAL BLVD AT MCELHENY RD,,nan,40.532555,-79.968295
MT ROYAL BLVD AT KLEBER RD,,nan,40.53553,-79.970298
MT ROYAL BLVD AT KENNETH DR,,nan,40.510846,-79.956811
MT ROYAL BLVD AT IRENE AVE,,nan,40.510658,-79.956969
MT ROYAL BLVD AT IOLA AVE,,nan,40.536881,-79.97167
MT ROYAL BLVD AT ILLINOIS AV,,nan,40.549102,-79.971778
MT ROYAL BLVD AT HOFFMAN ST,,nan,40.52243,-79.960036
MT ROYAL BLVD AT HARTLE RD,,nan,40.541445,-79.972489
MT ROYAL BLVD AT HAMPTON AVE,,nan,40.554294,-79.971134
MT ROYAL BLVD AT GRANDVIEW A,,nan,40.550111,-79.971407
MT ROYAL BLVD AT GLENSHAW AV,,nan,40.52282,-79.960111
MT ROYAL BLVD AT GENESSEE AV,,nan,40.517382,-79.959079
MT ROYAL BLVD AT GENESSEE AV,,nan,40.517485,-79.958849
MT ROYAL BLVD AT EADE AVE,,nan,40.546742,-79.972426
MT ROYAL BLVD AT DEHAVEN CT,,nan,40.544679,-79.972254
MT ROYAL BLVD AT DEHAVEN AVE,,nan,40.55122,-79.971619
MT ROYAL BLVD AT CAMPBELL PL,,nan,40.526503,-79.963562
MT ROYAL BLVD AT BRIDLE RD,,nan,40.545107,-79.972489
MT ROYAL BLVD AT BRAUN ST,,nan,40.518996,-79.959116
MT PLEASANT RD OPP HAZLETT S,,nan,40.477816,-80.000049
MT PLEASANT RD AT PENFORT ST,,nan,40.477082,-79.999764
MT PLEASANT RD AT NORTHVIEW,,nan,40.481966,-80.00298
MT PLEASANT RD AT HAZLETT ST,,nan,40.477821,-80.000476
MT PLEASANT RD AT CHICAGO ST,,nan,40.478516,-80.000589
MT PLEASANT RD AT CHICAGO ST,,nan,40.478691,-80.001162
MT PLEASANT RD AT BEECH ST,,nan,40.480909,-80.002077
MT PLEASANT RD AT #415,,nan,40.479878,-80.001579
MT PLEASANT RD AT #384,,nan,40.480143,-80.002087
MT PLEASANT RD AT #305,,nan,40.482311,-80.002754
MT CARMEL RD OPP PERSHING ST,,nan,40.465766,-79.876375
MT CARMEL RD OPP MASON RD,,nan,40.465491,-79.87833
MT CARMEL RD OPP FAYBERN DR,,nan,40.466449,-79.874342
MT CARMEL RD OPP DOLLMAN RD,,nan,40.466284,-79.868319
MT CARMEL RD AT VERONA RD FS,,nan,40.465851,-79.865922
MT CARMEL RD AT VERONA RD,,nan,40.46568,-79.865662
MT CARMEL RD AT TYLER RD,,nan,40.467803,-79.883051
MT CARMEL RD AT TIERS ST,,nan,40.470225,-79.887599
MT CARMEL RD AT PERSHING ST,,nan,40.465506,-79.876548
