name,street_address,zip_code,latitude,longitude
Shop 'n Save / Glenshaw #212403,917 Butler Street,15116,40.511435,-79.949184
Shop 'n Save #1076 Mt. Washington,125 Virginia Avenue,15211,40.4294207827719,-80.0079707599967
Shop 'n Save Penn Hills ,2820 Universal  Road,15235,40.476155,-79.784692
Shop 'n Save - Pines Plaza ,1130 Perry  Highway,15237,40.5479378815443,-80.0355798189684
Trader Joe's #624,9020 Covenant Avenue,15237,40.570472,-80.022153
Shop 'n Save - Ross's Village,1886 Homeville Road,15122,40.3654532753713,-79.8733260440576
Shop 'n Save - Wilkins Twp,3335 Wm Penn  Highway,15235,40.4329188881668,-79.817628876349
Whitehall Asian Supermarket,1406 Radford  Road,15227,40.363957,-79.967437
Shop 'n Save / Brownsville Road,1119 Brownsville  Road,15210,40.4048249476727,-79.989721255342
Wal-Mart Super Center #2588,100 WAL-MART DR,15137,40.386894,-79.824297
Shop 'n Save / Century Square,2381 Mountain View  Drive,15122,40.3449102270979,-79.946597630338
Target #2787,201 SOUTH HILLS VILLAGE,15241,40.343851,-80.057609
Shop 'n Save / Heidelberg,2100 Washington Pike,15106,40.3878912647148,-80.0925646091617
Whole Foods Market #53,5880 Centre Ave,15206,40.45845347,-79.92897802
Shop 'n Save / Noblestown #2412,2103 Noblestown  Road,15205,40.4306512290677,-80.0519979037217
Shop 'n Save / Rochester,184 Rochester  Road,15229,40.5198074269627,-80.0181034349263
Shop 'n Save / Russellton,908 Little Deer Creek Valley Road,15076,40.6086628976599,-79.833503856548
Shop 'n Save / Shaler,1620 Babcock  Boulevard,15209,40.4991465632107,-79.9789010794588
Shop 'n Save McKeesport ,815 5th Ave,15132,40.3519055509553,-79.8560283571471
Shop N Save,649 Old Clairton Road,15236,40.3242329412658,-79.9568084659502
Shop N Save#3102,5375 William Flynn Highway,15044,40.619568,-79.946359
Shursave,4401 Liberty  Avenue,15224,40.4641309781166,-79.9520630304225
Soergel's Orchards,2573 Brandt School Rd,15090,40.6145899641775,-80.0927508851657
T-Bones,100 VIP  Drive,15090,40.6169113511392,-80.0924641751422
Target #2757,6231 Penn Avenue,15206,40.4608542618671,-79.9219100853522
The Fresh Market,1551 Washington Road,15228,40.3546337437069,-80.0493099027057
Trader Joe's #630,1630 Washington Road Suite 1,15228,40.3513073073955,-80.0517467727594
Trader Joe's #638,6343 Penn  Avenue,15206,40.4591930409335,-79.9192342043347
Two Louie's Market,1233 Penn Avenue,15222,40.4464236673141,-79.9917630571851
WFH / Wing Fat Hong Oriental Food Market,2306 Penn Avenue,15222,40.4528030322044,-79.9810841301702
Wal-Mart #4644,7500 University  Boulevard,15108,40.5165777572193,-80.2241914551674
Wal-Mart Super Center #2281,2351 Century  Drive,15122,40.3423950830376,-79.9466268875031
Wal-Mart Super Center #2300,250 Summit Park Drive,15275,40.4472891084208,-80.1762439814093
Wal-Mart Super Center #3838,2010 Village Center Drive,15084,40.5640866984935,-79.8041418770802
Wal-mart Super Center #3738,4015 Freeport Road,15065,40.6469097311273,-79.710023447838
Whole Foods Market,111 Siena Drive,15241,40.3461231926006,-80.0581104695546
Whole Foods Wexford #10377,10576 Perry  Highway,15090,40.6122613707721,-80.0529106557463
